"section","n","tau","kappa","estimator","replications","coverage","rejection_count","rejection_rate","MCSE","Wilson_lower","Wilson_upper","mean_W_true","median_W_true","q90_W_true","q95_W_true","max_W_true","coverage_rank","q50","q90","q95","q99","mean","maximum","q90_chisq2","q95_chisq2","q99_chisq2","aggregation","pilot_RMSE","authors_RMSE","RMSE_difference","RMSE_ratio","pilot_MAE","authors_MAE","MAE_difference","MAE_ratio","pilot_bias_estimate_minus_truth","pilot_bias_truth_minus_estimate","authors_bias_truth_minus_estimate","harmonized_bias_difference","all_grid_accepted_but_not_covered","no_grid_point_accepted_but_covered","grid_measure_four_but_not_covered","delta","power","null_rejection_rate","power_below_size","metric","value"
"coverage_matrix",500,0.25,1,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.14757841755426,1.74853233088897,4.05078083269106,6.44979598517071,10.4477765091847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.5,"Oracle-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.40864498301415,1.52456814457679,5.04935435296366,7.73124629676452,15.6449964788181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.5,"Full-GMM",50,0.88,6,0.12,0.0459565011723042,0.76195182616797,0.943823998490677,3.20539486604632,2.36597687137505,6.27383029279342,9.87970117613103,13.0725163359567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.5,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.23837787546961,1.52359929631475,4.85446102079188,6.15637340625526,7.95790817911211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.25,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.34347786780683,1.62885862122015,5.70133882155836,7.50748855729646,10.9894560852292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.25,"Full-GMM",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,2.26077745557348,1.58744441680676,4.52517394664718,5.22639666336069,13.9164180425436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.25,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.077423542476,1.39759865343626,4.7296579653572,7.63536920992817,8.62082291140518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.1,"Oracle-GMM",50,0.88,6,0.12,0.0459565011723042,0.76195182616797,0.943823998490677,2.25137679791964,1.43783673436551,6.04258226441601,6.87028899542167,10.9152426217347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.1,"Full-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,1.93223911254754,1.21038382977847,4.07446790815646,6.1855765272565,9.30413758028198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.25,0.1,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.0927328942805,1.42915182697508,5.44867201642808,7.101792842402,11.7095744897832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
